,index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
357,358,S04,1,S04E1,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
358,359,S04,1,S04E1,7.0,0.0,Willam,,0.0,1,0.0,0,0
359,360,S04,1,S04E1,8.0,0.0,Jiggly Caliente,,0.0,1,1.0,0,0
360,361,S04,1,S04E1,9.0,0.0,Milan,,0.0,1,0.0,0,0
361,362,S04,1,S04E1,10.0,0.0,Madame LaQueer,,0.0,1,0.0,0,0
362,363,S04,1,S04E1,11.0,0.0,The Princess,,0.0,1,0.0,0,0
363,364,S04,1,S04E1,12.0,0.0,Lashauwn Beyond,,0.0,1,0.0,0,0
364,365,S04,1,S04E1,13.0,0.0,Alisa Summers,,1.0,1,0.0,0,0
365,366,S04,2,S04E2,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
366,367,S04,2,S04E2,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
367,368,S04,2,S04E2,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
368,369,S04,2,S04E2,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
369,370,S04,2,S04E2,5.0,0.0,Kenya Michaels,,0.0,1,0.0,0,0
370,371,S04,2,S04E2,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
371,372,S04,2,S04E2,7.0,0.0,Willam,,0.0,1,0.0,0,0
372,373,S04,2,S04E2,8.0,0.0,Jiggly Caliente,,0.0,1,0.0,0,0
373,374,S04,2,S04E2,9.0,0.0,Milan,,0.0,1,0.0,0,0
374,375,S04,2,S04E2,10.0,0.0,Madame LaQueer,,0.0,1,0.0,0,0
375,376,S04,2,S04E2,11.0,0.0,The Princess,,0.0,1,0.0,0,0
376,377,S04,2,S04E2,12.0,0.0,Lashauwn Beyond,,1.0,1,0.0,0,0
378,379,S04,3,S04E3,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
379,380,S04,3,S04E3,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
380,381,S04,3,S04E3,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
381,382,S04,3,S04E3,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
382,383,S04,3,S04E3,5.0,0.0,Kenya Michaels,,0.0,1,0.0,0,0
383,384,S04,3,S04E3,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
384,385,S04,3,S04E3,7.0,0.0,Willam,,0.0,1,0.0,0,0
385,386,S04,3,S04E3,8.0,0.0,Jiggly Caliente,,0.0,1,1.0,0,0
386,387,S04,3,S04E3,9.0,0.0,Milan,,0.0,1,0.0,0,0
387,388,S04,3,S04E3,10.0,0.0,Madame LaQueer,,0.0,1,0.0,0,0
388,389,S04,3,S04E3,11.0,0.0,The Princess,,1.0,1,0.0,0,0
391,392,S04,4,S04E4,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
392,393,S04,4,S04E4,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
393,394,S04,4,S04E4,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
394,395,S04,4,S04E4,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
395,396,S04,4,S04E4,5.0,0.0,Kenya Michaels,,0.0,1,0.0,0,0
396,397,S04,4,S04E4,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
397,398,S04,4,S04E4,7.0,0.0,Willam,,0.0,1,0.0,0,0
398,399,S04,4,S04E4,8.0,0.0,Jiggly Caliente,,0.0,1,0.0,0,0
399,400,S04,4,S04E4,9.0,0.0,Milan,,0.0,1,0.0,0,0
400,401,S04,4,S04E4,10.0,0.0,Madame LaQueer,,0.0,1,0.0,0,0
404,405,S04,5,S04E5,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
405,406,S04,5,S04E5,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
406,407,S04,5,S04E5,2.0,0.0,Phi Phi O'Hara,,0.0,1,1.0,0,0
407,408,S04,5,S04E5,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
408,409,S04,5,S04E5,5.0,0.0,Kenya Michaels,,1.0,1,0.0,0,0
409,410,S04,5,S04E5,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
410,411,S04,5,S04E5,7.0,0.0,Willam,,0.0,1,0.0,0,0
411,412,S04,5,S04E5,8.0,0.0,Jiggly Caliente,,0.0,1,0.0,0,0
412,413,S04,5,S04E5,9.0,0.0,Milan,,0.0,1,0.0,0,0
417,418,S04,6,S04E6,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
418,419,S04,6,S04E6,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
419,420,S04,6,S04E6,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
